date,sub_region_1,sub_region_2,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential,total_cases,total_deaths,new_cases,new_deaths,political_preference,population,area,pop_dens
2020-02-23,California,Madera County,10,-10,67,12,0,-1,,0,,,Neutral,158894,2138,74.3189897100093
2020-02-24,California,Madera County,4,-7,28,13,8,-1,0,,,,Neutral,158894,2138,74.3189897100093
2020-02-24,California,Madera County,4,-7,28,13,8,-1,,0,,,Neutral,158894,2138,74.3189897100093
2020-02-25,California,Madera County,8,-9,38,25,0,0,0,,,,Neutral,158894,2138,74.3189897100093
2020-02-25,California,Madera County,8,-9,38,25,0,0,,0,,,Neutral,158894,2138,74.3189897100093
2020-02-26,California,Madera County,12,-4,41,31,1,-1,0,,,,Neutral,158894,2138,74.3189897100093
2020-02-26,California,Madera County,12,-4,41,31,1,-1,,0,,,Neutral,158894,2138,74.3189897100093
2020-02-27,California,Madera County,6,-6,40,41,1,-1,0,,,,Neutral,158894,2138,74.3189897100093
2020-02-27,California,Madera County,6,-6,40,41,1,-1,,0,,,Neutral,158894,2138,74.3189897100093
2020-02-28,California,Madera County,10,-5,34,57,0,-2,0,,,,Neutral,158894,2138,74.3189897100093
2020-02-28,California,Madera County,10,-5,34,57,0,-2,,0,,,Neutral,158894,2138,74.3189897100093
2020-02-29,California,Madera County,9,-7,57,59,1,-1,0,,,,Neutral,158894,2138,74.3189897100093
2020-02-29,California,Madera County,9,-7,57,59,1,-1,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-01,California,Madera County,9,-14,22,65,-1,-1,0,,,,Neutral,158894,2138,74.3189897100093
2020-03-01,California,Madera County,9,-14,22,65,-1,-1,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-02,California,Madera County,14,-3,34,47,8,-2,0,,,,Neutral,158894,2138,74.3189897100093
2020-03-02,California,Madera County,14,-3,34,47,8,-2,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-03,California,Madera County,18,-3,51,56,1,-1,0,,,,Neutral,158894,2138,74.3189897100093
2020-03-03,California,Madera County,18,-3,51,56,1,-1,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-04,California,Madera County,15,2,35,44,0,0,0,,,,Neutral,158894,2138,74.3189897100093
2020-03-04,California,Madera County,15,2,35,44,0,0,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-05,California,Madera County,11,-1,35,44,1,0,0,,,,Neutral,158894,2138,74.3189897100093
2020-03-05,California,Madera County,11,-1,35,44,1,0,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-06,California,Madera County,5,-3,51,63,0,-1,0,,,,Neutral,158894,2138,74.3189897100093
2020-03-06,California,Madera County,5,-3,51,63,0,-1,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-07,California,Madera County,5,-6,37,51,-2,0,1,,,,Neutral,158894,2138,74.3189897100093
2020-03-07,California,Madera County,5,-6,37,51,-2,0,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-08,California,Madera County,7,-10,43,49,1,-1,1,,,,Neutral,158894,2138,74.3189897100093
2020-03-08,California,Madera County,7,-10,43,49,1,-1,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-09,California,Madera County,7,0,29,45,6,-1,1,,,,Neutral,158894,2138,74.3189897100093
2020-03-09,California,Madera County,7,0,29,45,6,-1,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-10,California,Madera County,8,-5,29,44,-2,1,1,,,,Neutral,158894,2138,74.3189897100093
2020-03-10,California,Madera County,8,-5,29,44,-2,1,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-11,California,Madera County,6,2,31,39,-2,1,1,,,,Neutral,158894,2138,74.3189897100093
2020-03-11,California,Madera County,6,2,31,39,-2,1,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-12,California,Madera County,8,4,51,22,-1,0,1,,,,Neutral,158894,2138,74.3189897100093
2020-03-12,California,Madera County,8,4,51,22,-1,0,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-13,California,Madera County,8,16,38,37,-2,-1,1,,,,Neutral,158894,2138,74.3189897100093
2020-03-13,California,Madera County,8,16,38,37,-2,-1,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-14,California,Madera County,2,17,19,30,-2,2,1,,,,Neutral,158894,2138,74.3189897100093
2020-03-14,California,Madera County,2,17,19,30,-2,2,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-15,California,Madera County,-14,3,-38,21,-6,4,1,,,,Neutral,158894,2138,74.3189897100093
2020-03-15,California,Madera County,-14,3,-38,21,-6,4,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-16,California,Madera County,-3,8,-26,25,-14,10,1,,,,Neutral,158894,2138,74.3189897100093
2020-03-16,California,Madera County,-3,8,-26,25,-14,10,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-17,California,Madera County,-3,9,1,34,-20,10,1,,,,Neutral,158894,2138,74.3189897100093
2020-03-17,California,Madera County,-3,9,1,34,-20,10,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-18,California,Madera County,-6,23,2,26,-21,9,1,,,,Neutral,158894,2138,74.3189897100093
2020-03-18,California,Madera County,-6,23,2,26,-21,9,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-19,California,Madera County,-15,7,-8,19,-26,12,1,,,,Neutral,158894,2138,74.3189897100093
2020-03-19,California,Madera County,-15,7,-8,19,-26,12,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-20,California,Madera County,-25,-3,-2,7,-29,13,3,,,,Neutral,158894,2138,74.3189897100093
2020-03-20,California,Madera County,-25,-3,-2,7,-29,13,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-21,California,Madera County,-34,-16,-17,-10,-24,13,3,,,,Neutral,158894,2138,74.3189897100093
2020-03-21,California,Madera County,-34,-16,-17,-10,-24,13,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-22,California,Madera County,-40,-23,6,-14,-29,9,3,,,,Neutral,158894,2138,74.3189897100093
2020-03-22,California,Madera County,-40,-23,6,-14,-29,9,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-23,California,Madera County,-27,-17,-22,4,-31,15,3,,,,Neutral,158894,2138,74.3189897100093
2020-03-23,California,Madera County,-27,-17,-22,4,-31,15,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-24,California,Madera County,-30,-20,-29,14,-38,16,6,,,,Neutral,158894,2138,74.3189897100093
2020-03-24,California,Madera County,-30,-20,-29,14,-38,16,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-25,California,Madera County,-33,-16,-34,4,-37,17,6,,,,Neutral,158894,2138,74.3189897100093
2020-03-25,California,Madera County,-33,-16,-34,4,-37,17,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-26,California,Madera County,-30,-19,-27,-2,-38,16,7,,,,Neutral,158894,2138,74.3189897100093
2020-03-26,California,Madera County,-30,-19,-27,-2,-38,16,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-27,California,Madera County,-30,-21,-22,5,-39,16,10,,,,Neutral,158894,2138,74.3189897100093
2020-03-27,California,Madera County,-30,-21,-22,5,-39,16,,0,,,Neutral,158894,2138,74.3189897100093
2020-03-28,California,Madera County,-34,-25,-22,-23,-27,12,11,,,,Neutral,158894,2138,74.3189897100093
2020-03-28,California,Madera County,-34,-25,-22,-23,-27,12,,1,,,Neutral,158894,2138,74.3189897100093
2020-03-29,California,Madera County,-39,-25,-20,-30,-30,11,15,,,,Neutral,158894,2138,74.3189897100093
2020-03-29,California,Madera County,-39,-25,-20,-30,-30,11,,1,,,Neutral,158894,2138,74.3189897100093
2020-03-30,California,Madera County,-26,-21,-33,-2,-33,13,18,,,,Neutral,158894,2138,74.3189897100093
2020-03-30,California,Madera County,-26,-21,-33,-2,-33,13,,1,,,Neutral,158894,2138,74.3189897100093
2020-03-31,California,Madera County,-24,-19,-21,5,-40,15,21,,,,Neutral,158894,2138,74.3189897100093
2020-03-31,California,Madera County,-24,-19,-21,5,-40,15,,1,,,Neutral,158894,2138,74.3189897100093
2020-04-01,California,Madera County,-24,-8,-24,4,-39,15,23,,,,Neutral,158894,2138,74.3189897100093
2020-04-01,California,Madera County,-24,-8,-24,4,-39,15,,1,,,Neutral,158894,2138,74.3189897100093
2020-04-02,California,Madera County,-27,-11,-9,-8,-39,15,25,,,,Neutral,158894,2138,74.3189897100093
2020-04-02,California,Madera County,-27,-11,-9,-8,-39,15,,1,,,Neutral,158894,2138,74.3189897100093
2020-04-03,California,Madera County,-27,-14,-23,-6,-39,16,28,,,,Neutral,158894,2138,74.3189897100093
2020-04-03,California,Madera County,-27,-14,-23,-6,-39,16,,1,,,Neutral,158894,2138,74.3189897100093
2020-04-04,California,Madera County,-32,-18,-17,-20,-28,13,28,,,,Neutral,158894,2138,74.3189897100093
2020-04-04,California,Madera County,-32,-18,-17,-20,-28,13,,1,,,Neutral,158894,2138,74.3189897100093
2020-04-05,California,Madera County,-47,-30,-59,-28,-34,12,28,,,,Neutral,158894,2138,74.3189897100093
2020-04-05,California,Madera County,-47,-30,-59,-28,-34,12,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-06,California,Madera County,-27,-15,-39,-9,-39,18,28,,,,Neutral,158894,2138,74.3189897100093
2020-04-06,California,Madera County,-27,-15,-39,-9,-39,18,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-07,California,Madera County,-27,-18,-30,4,-42,16,28,,,,Neutral,158894,2138,74.3189897100093
2020-04-07,California,Madera County,-27,-18,-30,4,-42,16,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-08,California,Madera County,-33,-18,-39,-6,-40,17,28,,,,Neutral,158894,2138,74.3189897100093
2020-04-08,California,Madera County,-33,-18,-39,-6,-40,17,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-09,California,Madera County,-31,-13,-40,-10,-42,19,28,,,,Neutral,158894,2138,74.3189897100093
2020-04-09,California,Madera County,-31,-13,-40,-10,-42,19,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-10,California,Madera County,-34,-16,-33,-13,-46,18,30,,,,Neutral,158894,2138,74.3189897100093
2020-04-10,California,Madera County,-34,-16,-33,-13,-46,18,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-11,California,Madera County,-30,-10,-29,-26,-32,13,32,,,,Neutral,158894,2138,74.3189897100093
2020-04-11,California,Madera County,-30,-10,-29,-26,-32,13,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-12,California,Madera County,-49,-20,-58,-31,-35,10,32,,,,Neutral,158894,2138,74.3189897100093
2020-04-12,California,Madera County,-49,-20,-58,-31,-35,10,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-13,California,Madera County,-26,-15,-41,-4,-36,14,33,,,,Neutral,158894,2138,74.3189897100093
2020-04-13,California,Madera County,-26,-15,-41,-4,-36,14,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-14,California,Madera County,-19,-12,-15,16,-38,14,33,,,,Neutral,158894,2138,74.3189897100093
2020-04-14,California,Madera County,-19,-12,-15,16,-38,14,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-15,California,Madera County,-29,4,-25,1,-38,14,33,,,,Neutral,158894,2138,74.3189897100093
2020-04-15,California,Madera County,-29,4,-25,1,-38,14,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-16,California,Madera County,-44,-1,-22,3,-38,14,33,,,,Neutral,158894,2138,74.3189897100093
2020-04-16,California,Madera County,-44,-1,-22,3,-38,14,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-17,California,Madera County,-48,-4,-37,1,-38,15,33,,,,Neutral,158894,2138,74.3189897100093
2020-04-17,California,Madera County,-48,-4,-37,1,-38,15,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-18,California,Madera County,-48,-5,-27,-14,-24,12,33,,,,Neutral,158894,2138,74.3189897100093
2020-04-18,California,Madera County,-48,-5,-27,-14,-24,12,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-19,California,Madera County,-51,-9,,-13,-27,9,34,,,,Neutral,158894,2138,74.3189897100093
2020-04-19,California,Madera County,-51,-9,,-13,-27,9,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-20,California,Madera County,-44,-6,-49,11,-35,14,34,,,,Neutral,158894,2138,74.3189897100093
2020-04-20,California,Madera County,-44,-6,-49,11,-35,14,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-21,California,Madera County,-42,-5,-18,12,-38,14,36,,,,Neutral,158894,2138,74.3189897100093
2020-04-21,California,Madera County,-42,-5,-18,12,-38,14,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-22,California,Madera County,-44,3,-21,12,-38,14,36,,,,Neutral,158894,2138,74.3189897100093
2020-04-22,California,Madera County,-44,3,-21,12,-38,14,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-23,California,Madera County,-45,1,-13,2,-39,14,39,,,,Neutral,158894,2138,74.3189897100093
2020-04-23,California,Madera County,-45,1,-13,2,-39,14,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-24,California,Madera County,-45,-2,-19,1,-38,14,39,,,,Neutral,158894,2138,74.3189897100093
2020-04-24,California,Madera County,-45,-2,-19,1,-38,14,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-25,California,Madera County,-43,0,,-5,-25,10,39,,,,Neutral,158894,2138,74.3189897100093
2020-04-25,California,Madera County,-43,0,,-5,-25,10,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-26,California,Madera County,-48,-4,,-15,-27,8,40,,,,Neutral,158894,2138,74.3189897100093
2020-04-26,California,Madera County,-48,-4,,-15,-27,8,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-27,California,Madera County,-39,2,-25,4,-33,11,41,,,,Neutral,158894,2138,74.3189897100093
2020-04-27,California,Madera County,-39,2,-25,4,-33,11,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-28,California,Madera County,-39,0,-19,12,-38,5,44,,,,Neutral,158894,2138,74.3189897100093
2020-04-28,California,Madera County,-39,0,-19,12,-38,5,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-29,California,Madera County,-42,5,-23,2,-38,13,46,,,,Neutral,158894,2138,74.3189897100093
2020-04-29,California,Madera County,-42,5,-23,2,-38,13,,2,,,Neutral,158894,2138,74.3189897100093
2020-04-30,California,Madera County,-39,4,-6,5,-37,11,46,,,,Neutral,158894,2138,74.3189897100093
2020-04-30,California,Madera County,-39,4,-6,5,-37,11,,2,,,Neutral,158894,2138,74.3189897100093
2020-05-01,California,Madera County,-38,5,-2,12,-37,11,46,,,,Neutral,158894,2138,74.3189897100093
2020-05-01,California,Madera County,-38,5,-2,12,-37,11,,2,,,Neutral,158894,2138,74.3189897100093
2020-05-02,California,Madera County,-39,7,,-1,-21,7,46,,,,Neutral,158894,2138,74.3189897100093
2020-05-02,California,Madera County,-39,7,,-1,-21,7,,2,,,Neutral,158894,2138,74.3189897100093
2020-05-03,California,Madera County,-43,5,,1,-24,6,51,,,,Neutral,158894,2138,74.3189897100093
2020-05-03,California,Madera County,-43,5,,1,-24,6,,2,,,Neutral,158894,2138,74.3189897100093
2020-05-04,California,Madera County,-36,7,-16,11,-30,9,51,,,,Neutral,158894,2138,74.3189897100093
2020-05-04,California,Madera County,-36,7,-16,11,-30,9,,2,,,Neutral,158894,2138,74.3189897100093
2020-05-05,California,Madera County,-36,11,-2,19,-36,11,54,,,,Neutral,158894,2138,74.3189897100093
2020-05-05,California,Madera County,-36,11,-2,19,-36,11,,2,,,Neutral,158894,2138,74.3189897100093
2020-05-06,California,Madera County,-41,8,-12,13,-35,11,55,,,,Neutral,158894,2138,74.3189897100093
2020-05-06,California,Madera County,-41,8,-12,13,-35,11,,2,,,Neutral,158894,2138,74.3189897100093
2020-05-07,California,Madera County,-40,8,-10,5,-35,12,55,,,,Neutral,158894,2138,74.3189897100093
2020-05-07,California,Madera County,-40,8,-10,5,-35,12,,2,,,Neutral,158894,2138,74.3189897100093
2020-02-15,California,Marin County,6,7,28,18,-3,-1,0,0,0,0,Democrat,263886,520,507.473076923077
2020-02-16,California,Marin County,11,8,48,37,-1,-1,0,0,0,0,Democrat,263886,520,507.473076923077
2020-02-17,California,Marin County,10,4,166,-10,-48,7,0,0,0,0,Democrat,263886,520,507.473076923077
2020-02-18,California,Marin County,-2,1,22,0,-11,1,0,0,0,0,Democrat,263886,520,507.473076923077
2020-02-19,California,Marin County,-2,-1,16,-3,-12,1,0,0,0,0,Democrat,263886,520,507.473076923077
2020-02-20,California,Marin County,-2,-2,17,-3,-12,1,0,0,0,0,Democrat,263886,520,507.473076923077
2020-02-21,California,Marin County,-1,-9,24,-2,-11,1,0,0,0,0,Democrat,263886,520,507.473076923077
2020-02-22,California,Marin County,1,-2,13,8,-3,-1,0,0,0,0,Democrat,263886,520,507.473076923077
2020-02-23,California,Marin County,7,-1,18,17,2,-1,0,0,0,0,Democrat,263886,520,507.473076923077
2020-02-24,California,Marin County,1,-7,11,6,3,-1,0,0,0,0,Democrat,263886,520,507.473076923077
2020-02-25,California,Marin County,0,-4,16,4,3,-1,0,0,0,0,Democrat,263886,520,507.473076923077
2020-02-26,California,Marin County,2,-3,14,3,0,0,0,0,0,0,Democrat,263886,520,507.473076923077
2020-02-27,California,Marin County,2,0,19,2,1,0,0,0,0,0,Democrat,263886,520,507.473076923077
2020-02-28,California,Marin County,2,-2,10,2,2,-1,0,0,0,0,Democrat,263886,520,507.473076923077
2020-02-29,California,Marin County,6,1,0,1,1,0,0,0,0,0,Democrat,263886,520,507.473076923077
2020-03-01,California,Marin County,6,-2,-2,-1,2,0,0,0,0,0,Democrat,263886,520,507.473076923077
2020-03-02,California,Marin County,3,-1,9,-3,2,-1,0,0,0,0,Democrat,263886,520,507.473076923077
2020-03-03,California,Marin County,6,8,17,0,2,-1,0,0,0,0,Democrat,263886,520,507.473076923077
2020-03-04,California,Marin County,1,6,10,-1,1,0,0,0,0,0,Democrat,263886,520,507.473076923077
2020-03-05,California,Marin County,2,11,4,-3,-1,1,0,0,0,0,Democrat,263886,520,507.473076923077
2020-03-06,California,Marin County,0,2,-8,-1,-1,2,0,0,0,0,Democrat,263886,520,507.473076923077
2020-03-07,California,Marin County,-3,4,-28,-18,-3,2,0,0,0,0,Democrat,263886,520,507.473076923077
2020-03-08,California,Marin County,-3,2,-5,-10,1,1,0,0,0,0,Democrat,263886,520,507.473076923077
2020-03-09,California,Marin County,2,4,16,-9,-3,2,0,0,0,0,Democrat,263886,520,507.473076923077
2020-03-10,California,Marin County,0,7,22,-10,-4,3,1,0,1,0,Democrat,263886,520,507.473076923077
2020-03-11,California,Marin County,1,11,15,-13,-7,3,1,0,0,0,Democrat,263886,520,507.473076923077
2020-03-12,California,Marin County,0,21,20,-14,-9,4,3,0,2,0,Democrat,263886,520,507.473076923077
2020-03-13,California,Marin County,-5,21,-3,-18,-13,6,3,0,0,0,Democrat,263886,520,507.473076923077
2020-03-14,California,Marin County,-20,12,-45,-36,-10,8,5,0,2,0,Democrat,263886,520,507.473076923077
2020-03-15,California,Marin County,-24,5,-28,-32,-12,8,5,0,0,0,Democrat,263886,520,507.473076923077
2020-03-16,California,Marin County,-11,27,-11,-39,-34,12,9,0,4,0,Democrat,263886,520,507.473076923077
2020-03-17,California,Marin County,-47,-14,-10,-57,-54,23,11,0,2,0,Democrat,263886,520,507.473076923077
2020-03-18,California,Marin County,-50,-19,-28,-63,-57,26,15,0,4,0,Democrat,263886,520,507.473076923077
2020-03-19,California,Marin County,-46,-10,18,-58,-58,25,15,0,0,0,Democrat,263886,520,507.473076923077
2020-03-20,California,Marin County,-49,-16,-2,-55,-56,25,38,0,23,0,Democrat,263886,520,507.473076923077
2020-03-21,California,Marin County,-54,-12,3,-49,-41,17,38,0,0,0,Democrat,263886,520,507.473076923077
2020-03-22,California,Marin County,-57,-23,-20,-54,-40,15,38,0,0,0,Democrat,263886,520,507.473076923077
2020-03-23,California,Marin County,-50,-26,-33,-64,-59,25,38,0,0,0,Democrat,263886,520,507.473076923077
2020-03-24,California,Marin County,-54,-26,-49,-68,-63,29,47,0,9,0,Democrat,263886,520,507.473076923077
2020-03-25,California,Marin County,-50,-23,-27,-64,-60,27,53,0,6,0,Democrat,263886,520,507.473076923077
2020-03-26,California,Marin County,-50,-19,-16,-61,-62,27,60,0,7,0,Democrat,263886,520,507.473076923077
2020-03-27,California,Marin County,-52,-23,-33,-60,-58,27,65,0,5,0,Democrat,263886,520,507.473076923077
2020-03-28,California,Marin County,-62,-27,-69,-63,-47,20,68,1,3,1,Democrat,263886,520,507.473076923077
2020-03-29,California,Marin County,-61,-30,-59,-61,-42,17,74,1,6,0,Democrat,263886,520,507.473076923077
2020-03-30,California,Marin County,-48,-28,-28,-60,-60,24,93,1,19,0,Democrat,263886,520,507.473076923077
2020-03-31,California,Marin County,-49,-28,-14,-59,-60,26,99,4,6,3,Democrat,263886,520,507.473076923077
2020-04-01,California,Marin County,-49,-26,-22,-62,-61,27,107,4,8,0,Democrat,263886,520,507.473076923077
2020-04-02,California,Marin County,-50,-25,-17,-60,-62,27,108,6,1,2,Democrat,263886,520,507.473076923077
2020-04-03,California,Marin County,-52,-30,-30,-57,-60,27,118,6,10,0,Democrat,263886,520,507.473076923077
2020-04-04,California,Marin County,-64,-39,-80,-69,-51,22,131,6,13,0,Democrat,263886,520,507.473076923077
2020-04-05,California,Marin County,-64,-38,-70,-65,-47,18,137,7,6,1,Democrat,263886,520,507.473076923077
2020-04-06,California,Marin County,-54,-39,-58,-66,-64,28,141,7,4,0,Democrat,263886,520,507.473076923077
2020-04-07,California,Marin County,-52,-32,-17,-59,-63,27,143,9,2,2,Democrat,263886,520,507.473076923077
2020-04-08,California,Marin County,-52,-34,-35,-62,-64,28,148,10,5,1,Democrat,263886,520,507.473076923077
2020-04-09,California,Marin County,-53,-29,-29,-60,-65,28,149,10,1,0,Democrat,263886,520,507.473076923077
2020-04-10,California,Marin County,-54,-30,-35,-60,-62,28,154,10,5,0,Democrat,263886,520,507.473076923077
2020-04-11,California,Marin County,-59,-29,-63,-55,-46,19,154,10,0,0,Democrat,263886,520,507.473076923077
2020-04-12,California,Marin County,-69,-39,-53,-46,-46,17,153,10,-1,0,Democrat,263886,520,507.473076923077
2020-04-13,California,Marin County,-52,-32,-28,-57,-61,25,164,10,11,0,Democrat,263886,520,507.473076923077
2020-04-14,California,Marin County,-52,-26,-9,-56,-61,26,170,10,6,0,Democrat,263886,520,507.473076923077
2020-04-15,California,Marin County,-58,-28,-24,-55,-61,26,171,10,1,0,Democrat,263886,520,507.473076923077
2020-04-16,California,Marin County,-68,-26,-30,-60,-61,28,184,10,13,0,Democrat,263886,520,507.473076923077
2020-04-17,California,Marin County,-69,-28,-40,-58,-58,28,187,10,3,0,Democrat,263886,520,507.473076923077
2020-04-18,California,Marin County,-70,-26,-53,-47,-41,19,187,10,0,0,Democrat,263886,520,507.473076923077
2020-04-19,California,Marin County,-70,-30,-48,-46,-39,16,189,10,2,0,Democrat,263886,520,507.473076923077
2020-04-20,California,Marin County,-66,-30,-34,-58,-60,25,195,10,6,0,Democrat,263886,520,507.473076923077
2020-04-21,California,Marin County,-66,-27,-18,-59,-60,26,199,10,4,0,Democrat,263886,520,507.473076923077
2020-04-22,California,Marin County,-65,-25,-22,-56,-60,26,200,10,1,0,Democrat,263886,520,507.473076923077
2020-04-23,California,Marin County,-66,-25,-16,-55,-61,27,209,11,9,1,Democrat,263886,520,507.473076923077
2020-04-24,California,Marin County,-67,-25,-24,-52,-58,26,212,12,3,1,Democrat,263886,520,507.473076923077
2020-04-25,California,Marin County,-67,-24,-43,-39,-40,17,212,12,0,0,Democrat,263886,520,507.473076923077
2020-04-26,California,Marin County,-68,-25,-40,-38,-42,14,223,12,11,0,Democrat,263886,520,507.473076923077
2020-04-27,California,Marin County,-65,-28,-23,-56,-58,24,224,12,1,0,Democrat,263886,520,507.473076923077
2020-04-28,California,Marin County,-65,-26,-16,-55,-59,16,224,12,0,0,Democrat,263886,520,507.473076923077
2020-04-29,California,Marin County,-62,-26,-33,-55,-60,25,226,12,2,0,Democrat,263886,520,507.473076923077
2020-04-30,California,Marin County,-61,-23,-26,-55,-60,25,235,13,9,1,Democrat,263886,520,507.473076923077
2020-05-01,California,Marin County,-61,-23,-31,-48,-55,25,237,13,2,0,Democrat,263886,520,507.473076923077
2020-05-02,California,Marin County,-63,-21,-57,-37,-39,17,239,13,2,0,Democrat,263886,520,507.473076923077
2020-05-03,California,Marin County,-60,-19,-40,-29,-35,14,240,13,1,0,Democrat,263886,520,507.473076923077
2020-05-04,California,Marin County,-57,-24,-26,-52,-55,22,240,13,0,0,Democrat,263886,520,507.473076923077
2020-05-05,California,Marin County,-57,-17,-19,-49,-55,23,241,13,1,0,Democrat,263886,520,507.473076923077
2020-05-06,California,Marin County,-58,-21,-18,-49,-56,23,247,14,6,1,Democrat,263886,520,507.473076923077
2020-05-07,California,Marin County,-58,-17,-13,-49,-57,23,247,14,0,0,Democrat,263886,520,507.473076923077
2020-02-15,California,Mariposa County,47,40,73,,-6,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-02-16,California,Mariposa County,113,114,216,,2,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-02-17,California,Mariposa County,51,32,167,,-40,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-02-18,California,Mariposa County,-1,30,65,,1,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-02-19,California,Mariposa County,24,17,56,,-2,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-02-20,California,Mariposa County,19,26,53,,0,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-02-21,California,Mariposa County,27,31,54,,2,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-02-22,California,Mariposa County,42,32,47,,-2,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-02-23,California,Mariposa County,57,48,96,,4,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-02-24,California,Mariposa County,15,13,27,,5,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-02-25,California,Mariposa County,0,7,21,,4,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-02-26,California,Mariposa County,6,9,19,,3,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-02-27,California,Mariposa County,21,18,29,,4,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-02-28,California,Mariposa County,13,14,17,,8,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-02-29,California,Mariposa County,12,7,11,,-2,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-03-01,California,Mariposa County,-1,30,12,,-2,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-03-02,California,Mariposa County,12,7,12,,3,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-03-03,California,Mariposa County,11,17,26,,2,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-03-04,California,Mariposa County,5,6,25,,0,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-03-05,California,Mariposa County,22,22,35,,2,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-03-06,California,Mariposa County,13,9,17,,1,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-03-07,California,Mariposa County,-2,-4,-23,,-4,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-03-08,California,Mariposa County,1,14,26,,2,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-03-09,California,Mariposa County,-11,13,34,,-3,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-03-10,California,Mariposa County,9,14,24,,2,,0,0,0,0,Republican,18129,1451,12.4941419710544
2020-03-11,California,Mariposa County,0,16,18,,-1,,0,0,0,0,Republican,18129,1451,12.4941419710544
